"filename","np_elaboration","verb_vac_frequency","determiners","vac_frequency","possessives"
"171.txt",0.660060766294132,0.315250040246265,0.508897552982706,0.830913414827927,0.0748801790610661
"172.txt",0.690024796932009,0.0798466860210458,0.556282569986376,1,0.360621163462837
"173.txt",0.266962272754144,0.513622481496051,0.321216016689337,0.703513712873546,0.122278365459197
"174.txt",0.486544246337177,0.505317374468899,0.818885514819735,0.778839712759142,0.19554499448059
"175.txt",0.632443568602817,0.558927993046823,0.405101943882352,0.713344289784883,0.113754658807351
"176.txt",0.65330767040289,0.456296637232122,0.30644986487628,0.415551830724519,0.163490139312248
"177.txt",0.503950228184221,0.283021174140637,0.676921168724744,0.429317692536837,0
"178.txt",0.789901490837191,0.341467319192387,0.480954062338251,0.434778602730732,0.0407327745236153
"179.txt",0.574735525996227,0.491028784914073,0.514827283033222,0.560618056953426,0.224571201501007
"18.txt",0.373536878394101,0.405327564063063,0.772276422889877,0.401348673320251,0.288196920277813
"180.txt",0.625892566471005,0.497940000888511,0.527664349062556,0.74934447786543,0.684086269290913
"181.txt",0.530969027112314,0.454050164059094,0.41318036915738,0.505823115002441,0.337319912013247
"182.txt",0.54055489124937,0.303912677301786,0.405617700054504,0.729564158427982,0.268487849563823
"183.txt",0.438465581581847,0.41753221477967,0.459067212213598,0.696500747155698,0.240645858390163
"184.txt",0.399082982880394,0.329947582507555,0.94657271696849,0.628572728474342,0.0640094765005948
"185.txt",0.269666965326128,0.570688375121767,0.289677807258686,0.786960106724357,0.662306744608298
"186.txt",0.373622528653052,0.522784174531193,0.686714680265591,0.699719285008378,0.101116460140878
"187.txt",0.351870144124142,0.488821655398448,0.442441584556894,0.560230392469416,0.4186455195607
"188.txt",0.613163489781741,0.419103235596413,0.699623460627844,0.600513952050774,0.454998535700082
"19.txt",0,0,0,0,0
"190.txt",0.637058551609241,0.327979980939803,0.486615897956498,0.583568933618508,0.128365473555596
"191.txt",0,0,0,0,0
"192.txt",0.513340615620224,0.359569764988865,0.427634918845563,0.575351256345684,0.273653573077167
"193.txt",0.348656167178589,0.550025710183443,0.236047978887507,0.387999485358058,0.318388856326235
"194.txt",0.505302089011705,0.660483592180988,0.380363428334663,0.351180033632753,0.406736682985041
"195.txt",0.395503133730904,0.405132997750964,0.387268858059372,0.481901306182867,0.191985600626286
