"filename","error_count","grammar","misspelling","A_INFINITVE","BEEN_PART_AGREEMENT","CONFUSION_OF_OUR_OUT","EN_A_VS_AN","EN_CONTRACTION_SPELLING","NON3PRS_VERB","NOW","SENTENCE_FRAGMENT","SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA"
"137.txt",0.145161290322581,0.142857142857143,0.170212765957447,0,0,0,0,0,0,0,0,0
"123.txt",0.032258064516129,0,0.0212765957446809,0,0,0,0,0,0,0,0,0
"36.txt",0.0161290322580645,0,0.0212765957446809,0,0,0,0,0,0,0,0,0
"22.txt",0.370967741935484,0.142857142857143,0.0638297872340425,0,0,0,0,0,0,0,0.5,0
"269.txt",0.338709677419355,0.142857142857143,0.106382978723404,0,0,0,0,0,0,0,0,0
"241.txt",0.0161290322580645,0,0,0,0,0,0,0,0,0,0,0
"255.txt",0.145161290322581,0.714285714285714,0.0425531914893617,0,0.5,0,0,0,0,0,0,0
"282.txt",0.403225806451613,0,0.0212765957446809,0,0,0,0.333333333333333,0,0,0,0,0
"292.txt",0.0967741935483871,0.428571428571429,0.0638297872340425,0,0,0,0,0,0,0,0.5,0
"286.txt",0.532258064516129,0,0.191489361702128,0,0,0,0,0,0,0,0,0
"279.txt",0.112903225806452,0.428571428571429,0.0851063829787234,0,0,0,0,0,0,0,0,0
"251.txt",0.0645161290322581,0,0.0851063829787234,0,0,0,0,0,0,0,0,0
"245.txt",0.354838709677419,0,0.170212765957447,0,0,0,0,0,0,0,0,0
"26.txt",0.419354838709677,0.571428571428571,0.0425531914893617,0,0.5,0,0,0,0,0,0.5,1
"32.txt",0.306451612903226,0,0.148936170212766,0,0,0,0,0,0,0,0,0
"127.txt",0.0161290322580645,0,0.0212765957446809,0,0,0,0,0,0,0,0,0
"133.txt",0.0645161290322581,0,0.0851063829787234,0,0,0,0,0,0,0,0,0
"132.txt",0.435483870967742,0.285714285714286,0.212765957446809,0,0,0,0,0,0,0,0,0
"33.txt",0.435483870967742,0.285714285714286,0.0851063829787234,0,0,0,0,0,0,0,0.5,0
"27.txt",0.338709677419355,0.285714285714286,0.148936170212766,0,0,0,0,0,0,0,0,0
"244.txt",0.112903225806452,0.142857142857143,0.127659574468085,0,0,0,0,0,0,0,0,0
"250.txt",0.354838709677419,0.571428571428571,0.127659574468085,0,0.5,0,0,0,0,0,0.5,0
"278.txt",0.403225806451613,0.857142857142857,0.340425531914894,0,0,0,0,0,0,1,0,0
"287.txt",0.483870967741935,0,0.25531914893617,0,0,0,0,0,0,0,0,0
"293.txt",0.161290322580645,0.142857142857143,0.148936170212766,0,0,0,0,0,0,0,0,0.5
"285.txt",0.0645161290322581,0,0.0851063829787234,0,0,0,0,0,0,0,0,0
"246.txt",0.129032258064516,0,0.106382978723404,0,0,0,0,0,0,0,0,0.5
"252.txt",0.032258064516129,0,0.0425531914893617,0,0,0,0,0,0,0,0,0
"31.txt",0.161290322580645,0.142857142857143,0.127659574468085,0,0,0,0,0,0,0,0,0
"25.txt",0.306451612903226,0,0.106382978723404,0,0,0,0,0,0,0,0,0
"19.txt",0.370967741935484,0,0.127659574468085,0,0,0,0,0,0,0,0,0
"118.txt",0.0483870967741935,0,0.0638297872340425,0,0,0,0,0,0,0,0,0
"130.txt",0.725806451612903,0.285714285714286,0.127659574468085,0,0,0,0,0,0,0,0.5,0
"124.txt",0.0645161290322581,0,0.0212765957446809,0,0,0,0,0,0,0,0,0
"125.txt",0.161290322580645,0.285714285714286,0.170212765957447,0,0,0,0,0,0,0,0,0
"131.txt",0.129032258064516,0,0.127659574468085,0,0,0,0,0,0,0,0,0
"119.txt",0.193548387096774,0,0.0851063829787234,0,0,0,0,0,0,0,0,0
"18.txt",0.112903225806452,0,0.148936170212766,0,0,0,0,0,0,0,0,0
"24.txt",0.17741935483871,0.142857142857143,0.148936170212766,0,0,0,0,0,0.5,0,0,0
"30.txt",0.0483870967741935,0.142857142857143,0.0425531914893617,0,0,0,0,0,0.5,0,0,0
"253.txt",0.032258064516129,0,0.0425531914893617,0,0,0,0,0,0,0,0,0
"247.txt",0.403225806451613,0,0.127659574468085,0,0,0,0,0,0,0,0,0
"290.txt",0.241935483870968,0,0.148936170212766,0,0,0,0,0,0,0,0,0
"284.txt",0.387096774193548,0.285714285714286,0.148936170212766,0,0,0,0,0,0,0,0,0
