"filename","lexical_density_types","lexical_density_tokens","simple_ttr_aw","simple_ttr_cw","root_ttr_fw","mattr50_cw","hdd42_aw","hdd42_cw","hdd42_fw","mtld_original_aw","mtld_original_cw","mtld_ma_bi_aw","mtld_ma_bi_cw","mtld_ma_bi_fw"
"272.txt",0.575723199092456,0.561587881524662,0.514485514485514,0.591718825228695,0.579385927101261,0.591502526684561,0.705396770521354,0.83315617365804,0.821687227644955,0.576446993414924,0.174783444581254,0.449318788570544,0.390033292522038,0.176583980619568
"201.txt",0.750883299056057,0.551517550886591,0.364481409001957,0.526091081593928,0.723079076465516,0.776158648587695,0.799784286338466,0.902692796327358,0.848112261815726,0.782576456180965,0.281430867687505,0.685768315567507,0.860692790108614,0.449007876495229
"215.txt",0.38830162085976,0.286476333479701,0.44259421560035,0.629032258064516,0.668646287994408,0.740992779100979,0.593120972993656,0.858899229582285,0.809832634265134,0.382581132405879,0.190326831270386,0.41861319927494,0,0.16927973504702
"229.txt",0.517577068685776,0.378088109913292,0.660980810234541,0.914746543778802,0.236073796148668,0.862983846141382,0.348021642518066,0,0,0.16309647901439,0.195286544401962,0.183442447029691,0,0.00416014665593084
"76.txt",0.524547803617571,0.29274086605885,0.372233400402414,0.629032258064516,0.00993892075866754,0.59969377339231,0.0802403692365274,0,0.521001774366263,0.0922439004857457,0.0564145767178623,0.187499901120295,0.123136036316619,0.0160886012488036
"188.txt",0.842735042735042,0.313163242266878,0.304878048780488,0.726593233674272,0.691585534673809,0.888969431582268,0.794881173004382,0.9766777061794,0.865177008030151,0.673180538672862,0.710194944061836,0.553906575865898,0,0.336508515260623
"62.txt",0.511953618656765,0.464203732972078,0.348214285714285,0.430919050517346,0.782389193696675,0.594843693104827,0.767400143578661,0.818120018427699,0.90110393714988,0.585916978086499,0.153092604082623,0.552421260044131,0.415139146613176,0.472966354123716
"89.txt",0.756742002402009,0.710515917814405,0.748626373626374,0.86488131466829,0.471167426005132,0.802427129409096,0.845927662360322,0.929124707095853,0.7831076139998,0.880158051160834,0.325434730952844,0.635521285508711,0,0.307157072755724
"177.txt",0.608744882849926,0.517067904718898,0.477678571428572,0.608484312859037,0.566853396457903,0.704132168916109,0.711156096758814,0.839016248764411,0.828881597759291,0.500545154734669,0.213086041199818,0.545579404511556,0,0.200875496142248
"163.txt",0.551797040169133,0.296302908420716,0.382059800664452,0.658444022770398,0.302542900062493,0.618124078484745,0.39626082320064,0.837496409213689,0.676717225418156,0.209173444726022,0.137735051735684,0.313667194053801,0.299237965805536,0.223905766278221
