filename,nwords,MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
259.txt,0.3426124197002141,0.04549793191227519,0.1303948576677686,0.16299357208402204,0.06451612903225806,0.11522633744851851,0.08695652173913043,0.60000000000024,0.07142857142857142,0.06666666666666667,0.555555555556,0.14814814814816665,0.444444444444,0.13888888888875,0.743243243246136
26.txt,0.18629550321199145,0.02783964365255506,0.08570554025123966,0.10149340292878788,0.07661290322580645,0.09465020576148146,0.09178743961347827,0.5052631578950021,0.06349206349207143,0.075,0.777777777778,0.0555555555555,0.157894736842,0.07407407407416666,0.37553342816576457
260.txt,0.49036402569593146,0.02522879976038196,0.08177468464573004,0.15537190082644628,0.04743833017064516,0.06237816764148148,0.05720823798608696,0.2880000000001152,0.02255639097742857,0.07450980392133333,0.263157894737,0.08771929824566667,0.4,0.08333333333333333,0.6778378378391203
261.txt,0.9379014989293364,0.05583837098319476,0.14238074525179065,0.1779759315647383,0.06810035842290323,0.1111111111111111,0.08695652173913043,0.5684210526314274,0.06766917293235714,0.07037037037066667,0.473684210526,0.09649122807016666,0.289473684211,0.15789473684208333,0.844950213374977
262.txt,0.29978586723768735,0.014572064906229813,0.06255064009090909,0.11558270451556474,0.04946236559129032,0.06100217864925926,0.05882352941173912,0.2608695652177043,0.021008403361357144,0.07555555555533333,0.117647058824,0.029411764705833333,0.130434782609,0.03186274509804166,0.252056404230639
263.txt,0.35974304068522484,0.04101177219216699,0.11069371399944904,0.09819603661239669,0.1,0.12457912457925925,0.12252964426869564,0.5806451612906323,0.09740259740285713,0.07333333333333333,0.636363636364,0.015151515151516666,0.0322580645161,0.10606060606041667,0.4027898866617891
264.txt,0.25910064239828695,0.10229080496340505,0.15977961432506887,0.09586776859504133,0.20161290322580644,0.17901234567888888,0.18115942029,0.5280000000002112,0.13095238095214284,0.1,0.833333333333,0.13888888888883333,0.2,0.1319444444445833,0.33891891891956016
265.txt,0.21199143468950749,0.02608972319442587,0.0837465564738292,0.12315670069683195,0.0609318996416129,0.07037037037037036,0.07391304347826086,0.4235294117653694,0.04285714285714285,0.074074074074,0.5,0.09999999999999999,0.352941176471,0.049999999999999996,0.3147853736094199
267.txt,0.7623126338329765,0.04662087552166114,0.1251913070093664,0.160960251869146,0.06641366223903226,0.10493827160481481,0.08454106280173913,0.5828571428570332,0.0674603174602857,0.07058823529399999,0.611111111111,0.10185185185183333,0.314285714286,0.11342592592583334,0.6243243243255054
268.txt,0.13704496788008563,0.14524339802735695,0.3223140495867769,0.13429752066115702,0.1935483870967742,0.2777777777777778,0.2608695652173913,1.0,0.3571428571428571,0.06666666666666667,1.0,0.25,0.25,0.47916666666666663,0.8547297297328333
269.txt,0.0835117773019272,0.10944957047406369,0.10137741046831955,0.08448117539022039,0.24193548387096775,0.1111111111111111,0.13043478260869565,0.80000000000072,0.14285714285714285,0.16666666666666666,1.0,0.03333333333333333,0.0666666666667,0.11666666666666665,0.416216216216855
27.txt,0.06209850107066382,0.21253579382754828,0.07529843893498622,0.07059228650137742,0.5161290322580645,0.10493827160481481,0.11594202898565216,0.7500000000003,0.11904761904785714,0.4,0.833333333333,0.0,0.0,0.07638888888874999,0.30658783783841786
270.txt,0.4154175588865096,0.03666878778227195,0.09720582447878788,0.13085399449035812,0.06989247311838709,0.09259259259259259,0.0807453416147826,0.4153846153849662,0.04591836734692857,0.077777777778,0.5,0.03571428571433333,0.115384615385,0.053571428571249996,0.3087318087325301
271.txt,0.2633832976445396,0.013726648788603333,0.06926406926391185,0.09696969696969697,0.05760368663580645,0.0661375661374074,0.07763975155260869,0.4320000000001728,0.04591836734692857,0.06666666666666667,0.357142857143,0.023809523809499997,0.08,0.044642857142916666,0.26756756756807376
